data,dias_desde_inicio,mes,formato,gancho,tipo_de_gancho,estagio_de_consciencia,tema,grupo_de_tema,cluster_de_impressoes,impressoes,reacoes,cliques_exportados,ctr_exportado_pct,reposts,visualizacoes_video,impressoes_exportadas,reacoes_exportadas,palavras_legenda,caracteres_gancho,eh_carrossel,eh_video,gancho_eh_pergunta
1/20/26,0,12/31/25,Imagem,"O CAD aceita tudo. A máquina, não.",Declaração,Consciente do produto,DFM / manufaturabilidade,Protótipo / DFM,Médias impressões,294,6,8,2.8469751000000003,0,,281,6,178,34,0,0,0
1/21/26,1,12/31/25,Carrossel,Medicina personalizada não é mais slide de congresso – é o desafio real batendo na porta do P&D.,Declaração,Consciente do produto,Medicina personalizada,Produto especializado,Médias impressões,242,9,59,26.58,0,,222,9,172,96,1,0,0
1/22/26,2,12/31/25,Imagem,Em 2020/21 a cadeia global tremeu.,Declaração,Consciente da solução,Supply chain / manufatura local,Supply chain,Baixas impressões,201,6,18,9.6256681,0,,187,6,303,34,0,0,0
1/26/26,6,12/31/25,Imagem,A Física por Trás da Validação de Implantes: Por que 3D + CNC?,Pergunta,Consciente da solução,Protótipo até escala / industrialização,Protótipo / DFM,Médias impressões,359,10,11,3.1791907,0,,346,10,283,62,0,0,1
1/27/26,7,12/31/25,Imagem,A transição do protótipo para a produção em escala é um dos momentos mais críticos no desenvolvimento de um dispositivo médico.,Declaração,Mais consciente,Protótipo até escala / industrialização,Protótipo / DFM,Médias impressões,314,7,6,2.0066889,0,,299,7,147,127,0,0,0
2/4/26,15,1/31/26,Carrossel,Você pode ter o melhor design e o material mais nobre.,Declaração,Consciente do problema,Sala limpa / controle de contaminação,Sala limpa,Médias impressões,339,9,80,25.8899689,1,,309,9,143,54,1,0,0
2/10/26,21,1/31/26,Imagem,"No seu P&L, sustentabilidade é custo extra ou vantagem competitiva?",Pergunta,Consciente da solução,Sustentabilidade / eficiência produtiva,Outros,Baixas impressões,121,5,3,3.3707864999999995,0,,89,5,168,67,0,0,1
2/10/26,21,1/31/26,Imagem,"Pureza não é um diferencial, é um requisito regulatório crítico.",Declaração,Mais consciente,Sala limpa / controle de contaminação,Sala limpa,Baixas impressões,221,8,7,3.8043477,0,,184,8,187,64,0,0,0
2/15/26,26,1/31/26,Imagem,"Em dispositivos médicos, “parece certo” não é suficiente.",Declaração,Consciente do produto,Metrologia / validação dimensional,Metrologia / validação,Altas impressões,681,22,5,0.95,2,,525,17,147,57,0,0,0
2/18/26,29,1/31/26,Carrossel,"""Tamanho único"" funciona bem… até deixar de funcionar.",Declaração,Mais consciente,Medicina personalizada,Produto especializado,Baixas impressões,204,7,9,7.14,1,,126,4,176,54,1,0,0
2/23/26,34,1/31/26,Imagem,"ANVISA, FDA, ISO 13485, dossiês, validação, rastreabilidade.",Declaração,Consciente do produto,DFM / manufaturabilidade,Protótipo / DFM,Baixas impressões,135,4,5,6.4935066,0,,77,3,115,60,0,0,0
2/24/26,35,1/31/26,Imagem,"Por trás de todo dispositivo médico que chega com segurança ao paciente, existe uma cadeia silenciosa de fabricação que não pode falhar.",Declaração,Consciente do problema,Supply chain / manufatura local,Supply chain,Baixas impressões,154,6,5,8.196721199999999,0,,61,2,160,136,0,0,0
2/25/26,36,1/31/26,Imagem,"Na maioria das fábricas, qualidade é um departamento.",Declaração,Consciente do problema,Metrologia / validação dimensional,Metrologia / validação,Baixas impressões,178,5,2,4.26,0,,47,4,180,53,0,0,0
2/26/26,37,1/31/26,Imagem,"No papel, importar parece mais barato.",Declaração,Mais consciente,Qualidade / zero defeito,Qualidade,Baixas impressões,176,7,,,1,,,,129,38,0,0,0
3/3/26,42,2/28/26,Imagem,"Em dispositivos médicos, o maior desafio não é produzir o primeiro protótipo.",Declaração,Consciente do problema,Protótipo até escala / industrialização,Protótipo / DFM,Baixas impressões,191,7,33,18.3333337,0,,180,7,134,77,0,0,0
3/4/26,43,2/28/26,Imagem,"Em dispositivos médicos, cada novo fornecedor adiciona um novo ponto de falha.",Declaração,Consciente do produto,Sala limpa / controle de contaminação,Sala limpa,Baixas impressões,187,5,15,8.522727300000001,0,,176,5,95,78,0,0,0
3/9/26,48,2/28/26,Vídeo,Você já questionou se uma sala limpa ISO 7 no Brasil consegue realmente competir com o padrão das plantas europeias que você visita?,Pergunta,Consciente da solução,Sala limpa / controle de contaminação,Sala limpa,Sem impressões atuais,,11,16,5.992509399999999,1,132,267,10,144,132,0,1,1
3/11/26,50,2/28/26,Imagem,"Em implantes com geometria complexa, o problema muitas vezes não está no CAD, mas na quantidade de setups até a peça final.",Declaração,Consciente do problema,Metrologia / validação dimensional,Metrologia / validação,Altas impressões,498,15,18,3.8297873,0,,470,15,94,123,0,0,0
3/12/26,51,2/28/26,Imagem,"Em dispositivos médicos, UDI não é só um código. É o que conecta um evento adverso de volta ao fabricante, ao lote e ao paciente certo.",Declaração,Consciente do produto,Rastreabilidade regulatória / UDI,Outros,Médias impressões,268,9,13,5.3941909,0,,241,9,149,135,0,0,0
3/16/26,55,2/28/26,Imagem,As decisões de sourcing que você toma hoje definirão sua competitividade em 2026.,Declaração,Consciente do problema,Supply chain / manufatura local,Supply chain,Baixas impressões,152,6,5,4.6728972,0,,107,6,133,81,0,0,0
3/17/26,56,2/28/26,Imagem,Port-a-cath: Engenharia Nacional Atendendo a uma Demanda Crítica.,Declaração,Consciente do produto,Port-a-cath / dispositivos implantáveis,Produto especializado,Médias impressões,358,7,11,4.7210302,2,,233,7,105,65,0,0,0
3/19/26,58,2/28/26,Imagem,Onde a engenharia encontra a perfeição. Cada mícron inspecionado é um risco eliminado.,Declaração,Consciente do produto,Supply chain / manufatura local,Supply chain,Baixas impressões,200,6,1,0.9433962,0,,106,4,103,86,0,0,0
3/20/26,59,2/28/26,Imagem,Port-a-cath: Engenharia Nacional Atendendo a uma Demanda Crítica.,Declaração,Consciente do produto,Port-a-cath / dispositivos implantáveis,Produto especializado,Sem impressões atuais,,7,,,2,,,,105,65,0,0,0
3/23/26,62,2/28/26,Imagem,"Em um parafuso pedicular, frações de milímetro não são detalhe.",Declaração,Consciente do produto,Metrologia / validação dimensional,Metrologia / validação,Médias impressões,246,10,12,8.5714288,0,,140,7,129,63,0,0,0
4/1/26,71,3/31/26,Imagem,"Em dispositivos médicos, o maior gargalo de qualidade nem sempre está na usinagem. Muitas vezes, ele aparece quando a amostra chega e falta evidência dimensional suficiente para sustentar a decisão técnica.",Declaração,Consciente do produto,Metrologia / validação dimensional,Metrologia / validação,Altas impressões,598,22,31,5.4290719,0,,571,19,107,206,0,0,0
4/13/26,83,3/31/26,Carrossel,Fixação de membranas: pinos ou parafusos?,Pergunta,Consciente da solução,Trade-off de engenharia de produto,Outros,Baixas impressões,142,8,19,14.84375,0,,128,8,104,41,1,0,1
4/14/26,84,3/31/26,Imagem,Retrabalho nem sempre aparece como desvio aberto. Muitas vezes ele nasce na validacao dimensional mal amarrada ao processo.,Declaração,Consciente da solução,Validação dimensional / metrologia,Metrologia / validação,Baixas impressões,201,6,12,6.5217391,0,,184,6,115,123,0,0,0
4/16/26,86,3/31/26,Imagem,"Na manufatura de dispositivos médicos, precisão não é evento de inspeção final.",Declaração,Consciente do problema,Validação dimensional / metrologia,Metrologia / validação,Baixas impressões,232,6,13,6.0465116,0,,215,6,118,79,0,0,0
4/19/26,89,3/31/26,Imagem,"Na manufatura médica, capacidade produtiva não é só ter máquinas.",Declaração,Consciente do problema,Capacidade / manufatura previsível,Operações / capacidade,Altas impressões,874,35,91,11.43,0,,796,33,82,65,0,0,0
4/23/26,93,3/31/26,Carrossel,"Em kits cirúrgicos OEM, cada novo fornecedor é mais um ponto de falha:",Declaração,Consciente do produto,Kits OEM integrados / redução de risco de fornecedor,Operações / capacidade,Baixas impressões,85,7,9,20.45,0,,44,5,129,70,1,0,0