slug	title	placeholders	broken_404_link	empty_conclusion	malformed_html	topic_drift_signal
3-erros-que-fazem-seu-implante-falhar-no-teste-de-fadiga	3 Erros que Fazem Seu Implante Falhar no Teste de Fadiga	4	1	0	0	0
validacao-de-fadiga-em-implantes-do-cad-ao-ensaio-dinamico	Validação de Fadiga em Implantes: do CAD ao Ensaio Dinâmico	1	0	0	0	0
como-reduzir-iteracoes-caras-em-testes-de-fadiga-de-implantes	Como Reduzir Iterações Caras em Testes de Fadiga de Implantes	1	0	0	0	1
geometria-rugosidade-e-transicoes-o-que-mais-impacta-a-fadiga	Geometria, Rugosidade e Transições: o que mais impacta a fadiga	3	1	0	0	1
checklist-dfm-para-implantes-12-pontos-antes-de-congelar-o-desenho	Checklist DFM para Implantes: 12 Pontos Antes de Congelar o Desenho	3	1	1	0	0
dfm-sem-comprometer-performance-como-cortar-custo-com-seguranca	DFM sem Comprometer Performance: como cortar custo com segurança	3	1	1	0	0
handoff-de-engenharia-para-producao-sem-retrabalho-em-dispositivos-medicos	Handoff de Engenharia para Produção sem Retrabalho em Dispositivos Médicos	3	1	0	0	1
tolerancias-funcionais-como-revisar-desenho-para-usinagem-de-precisao	Tolerâncias Funcionais: como revisar desenho para usinagem de precisão	0	1	0	0	1
zero-defect-na-pratica-metrologia-que-sustenta-a-liberacao-de-lote	Zero-Defect na Prática: metrologia que sustenta a liberação de lote	1	0	0	0	1
rastreabilidade-total-em-dispositivos-medicos-material-processo-e-inspecao	Rastreabilidade Total em Dispositivos Médicos: material, processo e inspeção	1	0	0	0	1
plano-de-controle-com-cmm-como-reduzir-risco-dimensional-em-features-criticas	Plano de Controle com CMM: como reduzir risco dimensional em features críticas	0	0	0	0	1
capa-orientado-a-processo-prevenindo-recorrencia-de-nao-conformidades	CAPA orientado a processo: prevenindo recorrência de não conformidades	1	0	0	0	1
print-to-pack-fluxo-integrado-da-usinagem-a-embalagem-esteril	Print to Pack: fluxo integrado da usinagem à embalagem estéril	0	0	0	0	0
quando-internalizar-acabamento-limpeza-e-embalagem-em-projetos-medicos	Quando internalizar acabamento, limpeza e embalagem em projetos médicos	0	0	0	0	1
iso-7-na-pratica-pontos-de-controle-para-montagem-e-preparacao-de-kits	ISO 7 na prática: pontos de controle para montagem e preparação de kits	7	0	0	0	1
plano-piloto-de-90-dias-migrando-skus-criticos-para-producao-local	Plano Piloto de 90 Dias: migrando SKUs críticos para produção local	4	0	1	1	1
quais-skus-migrar-primeiro-metodo-pratico-para-reduzir-risco-de-abastecimento	Quais SKUs migrar primeiro: método prático para reduzir risco de abastecimento	6	0	1	0	1
governanca-da-transicao-local-kpis-que-importam-no-primeiro-trimestre	Governança da transição local: KPIs que importam no primeiro trimestre	3	0	0	0	1
modelo-de-qualificacao-tecnica-para-parceiro-local-em-manufatura-medica	Modelo de qualificação técnica para parceiro local em manufatura médica	4	0	0	0	1
the-precision-partner-na-pratica-como-a-lifetrek-opera-com-oems	The Precision Partner na prática: como a Lifetrek opera com OEMs	4	0	0	0	1
quem-somos-em-termos-tecnicos-processo-etica-e-compromisso-com-qualidade	Quem Somos em termos técnicos: processo, ética e compromisso com qualidade	1	0	0	0	1
expansao-de-5-000m-como-aumentar-capacidade-sem-perder-controle	Expansão de 5.000m²: como aumentar capacidade sem perder controle	2	0	0	0	1
launch-com-metodo-readiness-tecnico-para-escalar-producao-medica	Launch com método: readiness técnico para escalar produção médica	0	0	1	0	1
single-source-partnership-quando-consolidar-fornecedores-faz-sentido	Single-source partnership: quando consolidar fornecedores faz sentido	1	0	0	0	1